項次,出入口名稱,出入口編號,經度,緯度,是否為無障礙用
307,東門站出口4,4,121.528879,25.033646,否
308,東門站出口5,5,121.529506,25.033564,否
309,東門站出口6,6,121.529957,25.033924,否
310,東門站出口7,7,121.529678,25.033962,否
311,東門站出口8,8,121.528965,25.034074,是
312,蘆洲站出口1,1,121.4647333,25.0913266,否
313,蘆洲站出口2,2,121.4648924,25.0917076,是
314,蘆洲站出口3,3,121.4642624,25.0918704,否
315,三民高中站出口1,1,121.472542,25.085494,是
316,三民高中站出口2,2,121.473739,25.085791,否
317,徐匯中學站出口1,1,121.47988,25.080303,否
318,徐匯中學站出口2,2,121.480583,25.080332,是
319,三和國中站出口1,1,121.486398,25.076586,是
320,三和國中站出口2,2,121.486462,25.0767991,否
321,三重國小站出口,0,121.496656,25.070536,是
322,迴龍站出口1,1,121.4113464,25.0217259,是
323,迴龍站出口2,2,121.41077,25.02118,否
324,迴龍站出口3,3,121.4125638,25.0225398,否
325,丹鳳站出口1,1,121.4221819,25.0289618,否
326,丹鳳站出口2,2,121.422615,25.028742,是
327,南京復興站出口1,1,121.542121,25.052625,是
328,南京復興站出口2,2,121.541863,25.051748,是
329,南京復興站出口3,3,121.543237,25.051719,否
330,南京復興站出口4,4,121.543237,25.051719,否
331,南京復興站出口5,5,121.544338,25.051727,否
332,南京復興站出口6,6,121.544908,25.052057,否
333,南京復興站出口8,8,121.543819,25.052018,否
334,南京復興站出口7,7,121.5445925,25.0524873,是
335,中山站出口1,1,121.520303,25.052414,否
336,中山站出口4,4,121.520306,25.052858,是
337,中山站出口2,2,121.521063,25.052382,否
338,中山站出口3,3,121.521154,25.052611,否
339,中山站出口5,5,121.519329,25.053037,是
340,中山站出口6,6,121.519007,25.052833,是
341,西門站出口1,1,121.507566,25.042137,否
342,西門站出口2,2,121.508435,25.041545,否
343,西門站出口3,3,121.508888,25.041789,否
344,西門站出口4,4,121.509006,25.042203,是
345,西門站出口5,5,121.508789,25.042935,否
346,西門站出口6,6,121.507602,25.042573,是
347,松江南京站出口1,1,121.532388,25.051842,是
348,松江南京站出口2,2,121.532875,25.051342,是
349,松江南京站出口3,3,121.53287,25.051085,否
350,松江南京站出口4,4,121.53324,25.051624,否
351,松江南京站出口5,5,121.534081,25.051882,否
352,松江南京站出口6,6,121.533727,25.052095,否
353,松江南京站出口7,7,121.533195,25.05247,否
354,松江南京站出口8,8,121.532826,25.05257,是
355,北門站出口1,1,121.510212,25.048747,否
356,北門站出口2,2,121.510506,25.049583,是
357,北門站出口3,3,121.510227,25.049943,是
358,台北小巨蛋站出口1,1,121.55153,25.051836,是
359,台北小巨蛋站出口2,2,121.550715,25.051571,是
360,台北小巨蛋站出口3,3,121.552549,25.05152,是
361,台北小巨蛋站出口4,4,121.552898,25.051534,否
362,台北小巨蛋站出口5,5,121.552069,25.051838,否
363,南京三民站出口1,1,121.563643,25.051517,是
364,南京三民站出口2,2,121.563073,25.051215,是
365,南京三民站出口3,3,121.564595,25.051328,否
366,南京三民站出口4,4,121.56471,25.051588,否
367,松山站出口1,1,121.577022,25.050171,否
368,松山站出口2,2,121.576244,25.050171,否
369,松山站出口3,3,121.577533,25.049939,是
370,松山站出口4,4,121.577971,25.049799,否
371,松山站出口5,5,121.577782,25.050559,是
372,十四張站出口,0,121.527701,24.984467,是
373,秀朗橋站出口1,1,121.52574,24.990418,否
374,秀朗橋站出口2,2,121.5250505,24.9905493,是
375,景平站出口,0,121.5165532,24.9919681,是
376,中和站出口,0,121.4964906,25.00221178,是
377,橋和站出口,0,121.4904608,25.0044131,是
378,中原站出口,0,121.4841593,25.0084104,是
379,板新站出口,0,121.4722124,25.0144914,是
380,板橋站出口4,4,121.464938,25.015105,是
381,板橋站出口5,5,121.464312,25.015502,是
382,新埔民生站出口,0,121.466839,25.026125,是
383,幸福站出口1,1,121.460146,25.050126,是
384,幸福站出口2,2,121.460593,25.049545,否
385,新北產業園區站出口,0,121.4599257,25.0615483,是
